date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:23:29	9664/9664	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2019:53:27%20GMT	http://myanmarfuturocoin.jungonet.com/index.php	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/index.html	(from )
02:23:30	2948/2948	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2019:53:28%20GMT	http://myanmarfuturocoin.jungonet.com/robots.txt		(from )
02:23:31	31004/31004	---M-Z	200	added ('OK')	text/css	etag:%2213601c0-791c-54aaba00e2210%22	http://myanmarfuturocoin.jungonet.com/public/css/fonts/font-awesome-4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/public/css/fonts/font-awesome-4.7.0/css/font-awesome.min.css	(from http://myanmarfuturocoin.jungonet.com/index.php)
02:23:31	22983/22983	---M-Z	200	added ('OK')	text/css	etag:%2213407d6-59c7-558d7781e0700%22	http://myanmarfuturocoin.jungonet.com/public/css/main.css	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/public/css/main.css	(from http://myanmarfuturocoin.jungonet.com/index.php)
02:23:34	2305/2305	---M--	200	added ('OK')	text/javascript	etag:%2213601d4-901-53d8232c6a457%22	http://myanmarfuturocoin.jungonet.com/public/js/lib/viewport.js	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/public/js/lib/viewport.js	(from http://myanmarfuturocoin.jungonet.com/index.php)
02:23:35	23126/23126	---M--	200	added ('OK')	text/javascript	etag:%221360009-5a56-558fd5028de03%22	http://myanmarfuturocoin.jungonet.com/public/js/main.js	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/public/js/main.js	(from http://myanmarfuturocoin.jungonet.com/index.php)
02:23:37	8543/8543	---M--	200	added ('OK')	text/javascript	etag:%2213601e9-215f-5523fb6bf5d7e%22	http://myanmarfuturocoin.jungonet.com/public/js/video.player.js	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/public/js/video.player.js	(from http://myanmarfuturocoin.jungonet.com/index.php)
02:23:37	10365/10365	---M--	200	added ('OK')	image/png	etag:%22136019a-287d-54c676147d437%22	http://myanmarfuturocoin.jungonet.com/favicons/apple-touch-icon.png	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/favicons/apple-touch-icon.png	(from http://myanmarfuturocoin.jungonet.com/index.php)
02:23:38	1833/1833	---M--	200	added ('OK')	image/png	etag:%22136019d-729-54c6761524420%22	http://myanmarfuturocoin.jungonet.com/favicons/favicon-32x32.png	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/favicons/favicon-32x32.png	(from http://myanmarfuturocoin.jungonet.com/index.php)
02:23:39	1295/1295	---M--	200	added ('OK')	image/png	etag:%22136019c-50f-54c67614eb5f5%22	http://myanmarfuturocoin.jungonet.com/favicons/favicon-16x16.png	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/favicons/favicon-16x16.png	(from http://myanmarfuturocoin.jungonet.com/index.php)
02:23:40	403/403	---M--	200	added ('OK')	application/json	etag:%22136019f-193-54c676159e92e%22	http://myanmarfuturocoin.jungonet.com/favicons/manifest.json	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/favicons/manifest.json	(from http://myanmarfuturocoin.jungonet.com/index.php)
02:23:41	2394/2394	---M--	200	added ('OK')	image/svg+xml	etag:%2213601a1-95a-54c67616120db%22	http://myanmarfuturocoin.jungonet.com/favicons/safari-pinned-tab.svg	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/favicons/safari-pinned-tab.svg	(from http://myanmarfuturocoin.jungonet.com/index.php)
02:23:41	31755/31755	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2019:53:39%20GMT	http://myanmarfuturocoin.jungonet.com/signup	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/signup.html	(from http://myanmarfuturocoin.jungonet.com/index.php)
02:23:41	9664/9664	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2019:53:39%20GMT	http://myanmarfuturocoin.jungonet.com/	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/index-2.html	(from http://myanmarfuturocoin.jungonet.com/index.php)
02:23:42	6333/6333	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2019:53:40%20GMT	http://myanmarfuturocoin.jungonet.com/login	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/login.html	(from http://myanmarfuturocoin.jungonet.com/index.php)
02:23:43	121697/121697	---MC-	200	added ('OK')	text/javascript	date:Thu,%2023%20Feb%202017%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/dojo/1.12.1/dojo/dojo.js	C:/My%20Web%20Sites/social%20network/social%20network/ajax.googleapis.com/ajax/libs/dojo/1.12.1/dojo/dojo.js	(from http://myanmarfuturocoin.jungonet.com/index.php)
02:23:43	86351/86351	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.1.0/jquery.min.js	C:/My%20Web%20Sites/social%20network/social%20network/ajax.googleapis.com/ajax/libs/jquery/3.1.0/jquery.min.js	(from http://myanmarfuturocoin.jungonet.com/index.php)
02:23:44	6734/6734	---M--	200	added ('OK')	image/png	etag:%221340c44-1a4e-56fa4bc1e9ce9%22	http://myanmarfuturocoin.jungonet.com/public/images/avatar/1530128204D1vRF.png	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/public/images/avatar/1530128204D1vRF.png	(from http://myanmarfuturocoin.jungonet.com/index.php)
02:23:45	9576/9576	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2019:53:43%20GMT	http://myanmarfuturocoin.jungonet.com/users	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/users.html	(from http://myanmarfuturocoin.jungonet.com/index.php)
02:23:45	9725/9725	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2019:53:43%20GMT	http://myanmarfuturocoin.jungonet.com/photos	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/photos.html	(from http://myanmarfuturocoin.jungonet.com/index.php)
02:23:46	9761/9761	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2019:53:44%20GMT	http://myanmarfuturocoin.jungonet.com/videos	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/videos.html	(from http://myanmarfuturocoin.jungonet.com/index.php)
02:23:47	21972/21972	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2019:53:45%20GMT	http://myanmarfuturocoin.jungonet.com/about/privacy_policy	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/about/privacy_policy.html	(from http://myanmarfuturocoin.jungonet.com/index.php)
02:23:47	6982/6982	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2019:53:45%20GMT	http://myanmarfuturocoin.jungonet.com/about/help/	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/about/help/index.html	(from http://myanmarfuturocoin.jungonet.com/index.php)
02:23:47	9014/9014	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2019:53:45%20GMT	http://myanmarfuturocoin.jungonet.com/about/terms_and_conditions/	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/about/terms_and_conditions/index.html	(from http://myanmarfuturocoin.jungonet.com/index.php)
02:23:48	10072/10072	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2019:53:46%20GMT	http://myanmarfuturocoin.jungonet.com/hashtag/MugabeMustGo	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/hashtag/MugabeMustGo.html	(from http://myanmarfuturocoin.jungonet.com/index.php)
02:23:48	10883/10883	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2019:53:46%20GMT	http://myanmarfuturocoin.jungonet.com/about/cookie_policy/	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/about/cookie_policy/index.html	(from http://myanmarfuturocoin.jungonet.com/index.php)
02:23:49	9998/9998	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2019:53:47%20GMT	http://myanmarfuturocoin.jungonet.com/hashtag/Tajamuka	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/hashtag/Tajamuka.html	(from http://myanmarfuturocoin.jungonet.com/index.php)
02:23:50	10022/10022	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2019:53:48%20GMT	http://myanmarfuturocoin.jungonet.com/hashtag/Zimbabwe	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/hashtag/Zimbabwe.html	(from http://myanmarfuturocoin.jungonet.com/index.php)
02:23:51	153793/153793	---M--	200	added ('OK')	image/jpeg	etag:%22136b40e-258c1-56fa4ee0569da%22	http://myanmarfuturocoin.jungonet.com/public/images/covers/1530129041KlVVL.jpg	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/public/images/covers/1530129041KlVVL.jpg	(from http://myanmarfuturocoin.jungonet.com/index.php)
02:23:51	10106/10106	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2019:53:49%20GMT	http://myanmarfuturocoin.jungonet.com/hashtag/GraceMugabe	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/hashtag/GraceMugabe.html	(from http://myanmarfuturocoin.jungonet.com/index.php)
02:23:51	10071/10071	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2019:53:49%20GMT	http://myanmarfuturocoin.jungonet.com/hashtag/AsifuniBumbulu	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/hashtag/AsifuniBumbulu.html	(from http://myanmarfuturocoin.jungonet.com/index.php)
02:23:52	10040/10040	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2019:53:50%20GMT	http://myanmarfuturocoin.jungonet.com/hashtag/Nera	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/hashtag/Nera.html	(from http://myanmarfuturocoin.jungonet.com/index.php)
02:23:53	10069/10069	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2019:53:51%20GMT	http://myanmarfuturocoin.jungonet.com/hashtag/Zimbabwecoup	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/hashtag/Zimbabwecoup.html	(from http://myanmarfuturocoin.jungonet.com/index.php)
02:23:54	10073/10073	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2019:53:52%20GMT	http://myanmarfuturocoin.jungonet.com/hashtag/Mthwakazi!,	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/hashtag/Mthwakazi!,.html	(from http://myanmarfuturocoin.jungonet.com/index.php)
02:23:55	10064/10064	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2019:53:53%20GMT	http://myanmarfuturocoin.jungonet.com/hashtag/Mugabe	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/hashtag/Mugabe.html	(from http://myanmarfuturocoin.jungonet.com/index.php)
02:23:56	10043/10043	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2019:53:54%20GMT	http://myanmarfuturocoin.jungonet.com/hashtag/TytanEP	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/hashtag/TytanEP.html	(from http://myanmarfuturocoin.jungonet.com/index.php)
02:23:56	21972/21972	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2019:53:54%20GMT	http://myanmarfuturocoin.jungonet.com/about/Privacy_Policy/	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/about/Privacy_Policy/index.html	(from http://myanmarfuturocoin.jungonet.com/index.php)
02:23:56	10883/10883	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2019:53:54%20GMT	http://myanmarfuturocoin.jungonet.com/about/Cookie_Policy/	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/about/Cookie_Policy/index-2.html	(from http://myanmarfuturocoin.jungonet.com/index.php)
02:23:57	5847/5847	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2019:53:55%20GMT	http://myanmarfuturocoin.jungonet.com/forgot_password/	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/forgot_password/index.html	(from http://myanmarfuturocoin.jungonet.com/index.php)
02:24:11	77160/77160	---M--	200	added ('OK')	text/plain	etag:%2213601c6-12d68-54aaba03fec4f%22	http://myanmarfuturocoin.jungonet.com/public/css/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/public/css/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.woff2	(from http://myanmarfuturocoin.jungonet.com/public/css/fonts/font-awesome-4.7.0/css/font-awesome.min.css)
02:24:15	98024/98024	---M--	200	added ('OK')	text/plain	etag:%2213601c5-17ee8-54aaba039be42%22	http://myanmarfuturocoin.jungonet.com/public/css/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont.woff?v=4.7.0	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/public/css/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.woff	(from http://myanmarfuturocoin.jungonet.com/public/css/fonts/font-awesome-4.7.0/css/font-awesome.min.css)
02:24:21	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2213601c2-2876e-54aaba01970a1%22	http://myanmarfuturocoin.jungonet.com/public/css/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont.eot?v=4.7.0	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/public/css/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.eot	(from http://myanmarfuturocoin.jungonet.com/public/css/fonts/font-awesome-4.7.0/css/font-awesome.min.css)
02:24:25	444379/444379	---M--	200	added ('OK')	image/svg+xml	etag:%2213601c3-6c7db-54aaba026ce8b%22	http://myanmarfuturocoin.jungonet.com/public/css/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont.svg?v=4.7.0	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/public/css/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.svg	(from http://myanmarfuturocoin.jungonet.com/public/css/fonts/font-awesome-4.7.0/css/font-awesome.min.css)
02:24:30	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2213601c2-2876e-54aaba01970a1%22	http://myanmarfuturocoin.jungonet.com/public/css/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/public/css/fonts/font-awesome-4.7.0/fonts/fontawesome-webfontd41d.eot	(from http://myanmarfuturocoin.jungonet.com/public/css/fonts/font-awesome-4.7.0/css/font-awesome.min.css)
02:24:43	165548/165548	---M--	200	added ('OK')	text/plain	etag:%2213601c4-286ac-54aaba02f3eba%22	http://myanmarfuturocoin.jungonet.com/public/css/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/public/css/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.ttf	(from http://myanmarfuturocoin.jungonet.com/public/css/fonts/font-awesome-4.7.0/css/font-awesome.min.css)
02:24:46	10289/10289	---M--	200	added ('OK')	image/png	etag:%2213408ba-2831-53f29a060190a%22	http://myanmarfuturocoin.jungonet.com/public/images/jungonet.png	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/public/images/jungonet.png	(from http://myanmarfuturocoin.jungonet.com/public/css/main.css)
02:24:53	38985/38985	---M--	200	added ('OK')	image/png	etag:%2213408b7-9849-53f162cb4f5a8%22	http://myanmarfuturocoin.jungonet.com/public/images/jungonet-logo-dark.png	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/public/images/jungonet-logo-dark.png	(from http://myanmarfuturocoin.jungonet.com/public/css/main.css)
02:25:05	70788/70788	---M--	200	added ('OK')	image/jpeg	etag:%2213408a0-11484-53e31fe4e556e%22	http://myanmarfuturocoin.jungonet.com/public/images/chalkboard-image.jpg	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/public/images/chalkboard-image.jpg	(from http://myanmarfuturocoin.jungonet.com/public/css/main.css)
02:25:09	18248/18248	---M--	200	added ('OK')	image/png	etag:%2213407f0-4748-54c851ea0c4ed%22	http://myanmarfuturocoin.jungonet.com/public/images/small-logo.png	C:/My%20Web%20Sites/social%20network/social%20network/myanmarfuturocoin.jungonet.com/public/images/small-logo.png	(from http://myanmarfuturocoin.jungonet.com/public/css/main.css)
